polarity,tau,depth_m,epsilon_tilt_median,epsilon_curvature_median,epsilon_curvature_p90,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature_fraction
cyclonic,0.5,628.0260009765625,33.43652802147554,1.4462705293345526,2.5550779351577093,-1.8312098041543265,3.8312098041543265,0.3333333333333333,0.6666666666666666
cyclonic,0.5,697.2586669921875,30.791652830129024,14.077817668556575,24.870811214449947,-26.568915639254595,28.568915639254598,0.041666666666666664,0.9583333333333334
cyclonic,0.5,773.3682861328125,29.38478371022869,12.282399617843936,21.69890599152429,-23.04702422278514,25.04702422278514,0.041666666666666664,0.9583333333333334
cyclonic,0.5,856.678955078125,28.15747661429579,3.2411246533042473,5.7259868875041695,-5.347098940724013,7.347098940724013,0.16666666666666666,0.8333333333333334
cyclonic,0.5,947.4478759765625,42.289335505487,4.3415417951814055,7.67005717148715,-7.499296732687024,9.499296732687023,0.125,0.875
cyclonic,0.5,1045.854248046875,46.23562210436471,0.47606839494436604,0.8410541644017134,0.0683663620324898,1.93163363796751,1.0,0.0
cyclonic,0.5,1151.9912109375,39.7346463213658,2.2672809284872524,4.005529640327479,-3.438480465540729,5.438480465540729,0.20833333333333334,0.7916666666666666
cyclonic,0.5,1265.8614501953125,35.51220788205985,6.883731683289412,12.161259307144627,-12.477734984071116,14.477734984071116,0.08333333333333333,0.9166666666666666
cyclonic,0.5,1387.376953125,20.830751949712432,13.943417770472847,24.63337139450203,-26.30583017748249,28.30583017748249,0.041666666666666664,0.9583333333333334
cyclonic,0.5,1516.3636474609375,24.12171350200455,5.603913364653094,9.900246944220465,-9.968738361908082,11.968738361908082,0.08333333333333333,0.9166666666666666
cyclonic,0.5,1652.5684814453125,36.549625960186425,8.502419281363583,15.020940730408995,-15.636081817384774,17.636081817384774,0.041666666666666664,0.9583333333333334
cyclonic,0.5,1795.6707763671875,54.63964668876887,2.9986573515089416,5.2976279876657975,-4.8694413543440875,6.8694413543440875,0.16666666666666666,0.8333333333333334
cyclonic,0.5,1945.2955322265625,49.391857530764796,2.406120256683816,4.250812453474741,-3.7109807048530277,5.710980704853028,0.20833333333333334,0.7916666666666666
